"indicator no.",grading,domain,Taiwan,Australia,"New Zealand",Indonesia,Singapore,Georgia,Kyrgyzstan,Kazakhstan,Armenia,Tajikistan,Ethiopia,Kenya,Nigeria,"South Africa",Senegal,Brazil,Bolívia,Argentina,Uruguay,Paraguay,Chile,Colombia,Mexico,Peru,Venezuela,"South Korea",Japan,Vietnam,"United States",Canada,Philippines,Thailand,Cambodia,Malaysia,Germany,Estonia,"Czech Republic","Bosnia and Herzegovina",Poland,"United Kingdom",Egypt,Jordan,Lebanon,Turkey,Serbia,India,Albania,Montenegro,Latvia,Uzbekistan,"Sierra Leone",Ghana,Tanzania,Gambia,Zambia,Slovakia,France,Bangladesh,Lithuania,Bulgaria,Austria,Hungary,Belgium,Sweden,Finland,Greece,"North Macedonia",Afghanistan,Turkmenistan,"Costa Rica",Ecuador,Panama,Romania,Moldova,Ukraine,Italy,Netherlands,Azerbaijan,Belarus,Spain,Nicaragua,Pakistan
22,1,"Foreign Policy",0,0,0,2,4,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,4,0,0,2,4,4,2,0,0,2,0,2,0,4,2,4,2,4,na,0,2,0,2,4,2,4,4,2,0,0,4,0,2,0,4,0,0,0,2,0,4,4,2,2,2,0,2,2,0,0,2,4,0,2,4
23,1,Academia,2,4,3,4,4,3,3,4,0,3,3,3,0,4,4,4,2,3,1,0,3,1,3,3,3,2,1,0,4,4,3,4,1,2,4,3,1,0,3,4,3,3,4,4,2,1,0,0,1,4,3,4,3,0,3,4,3,1,1,4,2,4,4,1,4,3,3,3,4,3,1,3,3,3,3,3,4,3,3,4,0,4
24,1,Academia,0,3,3,2,3,4,4,4,3,4,4,3,4,4,1,4,1,3,3,1,4,1,4,4,3,2,2,1,4,4,3,4,3,2,4,3,1,3,4,4,3,3,4,4,3,1,3,3,1,3,3,4,3,1,3,4,4,1,1,3,1,4,2,0,0,3,1,3,0,3,3,3,3,1,3,4,3,4,3,4,0,4
25,0,Academia,0,0,0,0,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,0,4,0,4,4,0,4,0,0,4,0,0,0,0,0,4,4,0,na,0,0,4,0,0,4,4,0,0,0,0,0,0,0,4,0,4,4,4,0,4,4,0,4,0,0,0,0,0,0,4,4,0,4,4,0,0,4,4,0,0,0,0,4
26,1,Academia,1,0,0,1,3,2,4,3,0,3,0,0,0,3,1,0,0,1,0,0,0,0,0,4,0,0,1,0,1,0,2,3,1,3,1,3,0,3,3,1,3,2,1,0,0,na,0,0,1,2,0,0,1,0,0,0,2,1,1,3,0,3,1,1,0,0,0,0,0,0,0,0,3,0,na,2,1,0,0,3,0,2
27,1,Academia,na,3,na,1,3,3,4,4,0,1,0,na,0,4,0,0,0,1,4,0,2,1,3,0,3,0,2,3,4,2,3,0,2,2,2,0,3,3,na,2,3,2,0,na,4,3,1,3,1,na,1,3,4,0,1,4,3,1,0,3,0,na,3,3,1,na,0,3,0,4,0,0,1,0,2,2,2,0,na,na,4,3
28,1,Academia,4,2,1,1,3,3,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,1,3,2,0,4,4,0,3,0,0,4,0,1,0,na,3,0,0,0,0,1,0,1,0,1,na,0,0,1,0,na,0,2,0,1,3,3,0,0,4,0,0,0,0,0,3,0,0,0,0,2,2,1,0,2,0,0,0
29,1,Academia,na,0,1,1,4,3,4,3,2,0,3,na,0,0,0,na,0,3,0,1,1,1,4,4,3,4,2,0,4,4,4,4,1,na,3,1,1,4,1,na,1,3,1,na,0,na,0,na,2,4,2,4,3,2,4,0,2,2,0,2,0,1,3,0,na,1,na,3,1,3,3,na,2,2,na,2,1,0,0,na,0,4
30,1,Academia,2,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,4,1,0,0,0,3,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,na,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
31,1,Academia,3,3,0,0,0,0,0,na,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,na,4,0,0,0,0,0,4,3,0,na,0,3,0,0,0,1,0,na,0,0,na,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,na
32,0,Academia,0,0,na,0,4,0,4,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,4,4,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,na,0,0,0,0,0,0,0,0
33,1,Academia,3,4,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,na,4,4,na,na,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
34,1,"Domestic Politics",2,3,3,4,0,4,0,0,0,4,0,4,3,3,0,3,3,4,3,0,2,3,4,4,3,4,0,3,na,4,4,4,0,0,4,0,2,1,2,3,4,4,3,4,4,3,1,4,0,2,4,3,4,0,1,2,0,2,0,3,3,3,3,3,1,0,2,0,0,3,1,2,4,3,2,2,2,3,3,0,0,4
35,1,"Domestic Politics",1,4,4,2,0,3,3,2,0,2,3,3,0,4,0,4,3,4,4,0,2,1,4,4,0,4,2,3,4,4,3,4,4,4,4,3,1,3,2,4,2,2,0,2,4,2,3,3,0,2,1,1,3,1,3,2,2,na,2,4,2,4,1,3,4,1,2,0,2,3,3,3,4,3,4,2,2,1,1,4,0,3
36,1,"Domestic Politics",4,4,3,2,3,3,4,3,1,0,0,1,3,4,0,3,0,4,3,0,4,1,3,4,4,0,3,4,4,0,3,na,na,2,4,3,1,0,3,3,4,0,2,na,0,1,2,na,na,0,4,4,4,4,na,1,0,1,1,0,0,na,0,0,1,na,0,2,0,3,1,3,1,3,2,2,0,0,0,0,1,na
37,1,"Domestic Politics",4,3,3,4,4,4,4,4,1,4,3,3,3,4,1,3,3,3,4,na,4,1,3,4,4,4,3,3,4,2,4,2,3,3,4,3,4,4,3,4,2,3,2,4,4,2,1,1,2,4,4,1,3,4,4,2,2,1,0,2,4,4,3,4,2,3,2,4,4,3,3,3,2,3,1,2,1,2,3,4,3,4
38,1,"Domestic Politics",0,3,na,3,3,0,3,1,0,0,3,3,3,4,0,1,3,3,0,0,2,1,1,4,3,0,0,0,0,0,4,3,3,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,1,4,0,3,0,2,0,0,0,0,0,0,0,0,0,4,2,3,0,3,0,0,0,0,0,0,2,0,0,4
39,1,"Domestic Politics",3,4,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,na,0,na,3,0,0,0,0,0,3,0,0,0,0,na,0,0,0,0,0,1,4,1,0,4,0,0,na,0,0,0,0,0,0,1,0,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0
40,1,"Domestic Politics",3,3,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,1,0,4,0,3,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0
41,1,"Domestic Politics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,1,"Domestic Politics",4,0,0,4,0,4,4,0,4,4,3,3,1,4,3,0,0,4,4,0,4,4,4,0,4,4,1,0,na,0,4,4,4,4,4,1,2,4,na,4,2,3,4,4,4,1,1,4,1,4,4,4,4,4,4,3,2,2,1,3,3,4,1,0,1,4,1,4,3,4,3,3,2,3,2,2,0,1,4,3,3,4
43,1,"Domestic Politics",1,3,3,1,3,3,4,0,0,3,0,0,0,0,0,3,0,0,0,na,4,0,3,4,4,4,1,na,4,0,na,3,3,na,4,3,3,3,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,na,0,1,na,0,0,1,0,3,0,0,0,0,0,4,0,0,na,3,0,1,3,0,0,na,1,0,na
44,1,"Domestic Politics",0,0,0,0,0,3,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,2,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,3,0,0,0,0
45,0,Economy,4,4,4,4,4,0,0,0,0,0,4,4,4,4,0,4,4,0,4,0,4,0,0,4,0,4,4,4,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0
46,0,Economy,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,Economy,0,4,4,4,0,0,0,0,4,4,0,0,4,4,0,4,0,0,0,0,4,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4
48,0,Economy,0,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0,0,4,0,4,4,4,0,0,0,4,0,4,4,4,4,4,4,4,0,0,0,4,4,0,4,4,0,4,4,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,4,0,4,0,0,4,0,0,4,0,0,0,4,0,0,0,4,0,4
49,0,Economy,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0,4,0,0,4,4,4,0,4,0,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,4,0,0,0,4,0,4,0,0,0,0,4,4,0,0,4,4,4,4,4,4,0,4,0,0,4,0,4,0,0,4,4,4,4,4,0,4
50,0,Economy,0,4,4,0,4,4,4,4,4,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,4,0,0,0,4,4,0,4,4,4,4,4,0,4,4,4,0,0,4,0,0,0,0,0,4,4,4,0,4,0,0,0,0,4,4,0,0,0,0,4,4,4,0,4,4,4,0,0,4
51,0,Economy,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0
52,0,Economy,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,na,4,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,4,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0
53,0,Economy,4,4,4,4,4,4,4,4,4,4,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,4,0,4,0,0,4,4,4,4,0,0,0,0,0,0,4,0,4,0,0,4,0,4,4,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4
54,0,Economy,0,0,4,4,4,4,4,4,0,4,4,4,4,0,4,0,0,0,4,0,0,0,0,4,4,4,0,4,0,0,4,4,4,4,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,4,0,0,0,0,4,0,4,4,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,4
55,0,Economy,0,na,na,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
