"indicator no.",grading,domain,Georgia,Latvia,Armenia,Azerbaijan,Kazakhstan,Uzbekistan,Tajikistan,Kyrgyzstan,Jordan,Egypt,Lebanon,Belarus,Mongolia,Mexico,Panama,"Costa Rica",Peru,Venezuela,Chile,Ecuador,Colombia,"Sierra Leone",Ghana,Tanzania,Gambia,Algeria,France,Bangladesh,Lithuania,Bulgaria,Austria,Hungary,Belgium,"Bosnia and Herzegovina",Slovakia,Sweden,Finland,Denmark,Ireland,Albania,Montenegro,Serbia,Greece,"North Macedonia",Turkey,Iceland,Portugal,Romania,Moldova,Italy,Netherlands,Ukraine,Spain,Nicaragua,Bolivia,Paraguay,Pakistan,Afghanistan,Turkmenistan,India,Nigeria,"South Africa",Senegal,Ethiopia,Kenya,Singapore,Taiwan,Brazil,"Czech Republic",Estonia,Poland,Vietnam,Nepal,Russia,"New Zealand",Zimbabwe,"Democratic Republic of the Congo",Malaysia,Timor-Leste,Argentina,Uruguay,"El Salvador",Philippines,Thailand,Myanmar,Uganda,Mozambique,Angola,Japan,Indonesia,"South Korea","Saudi Arabia",Qatar,Canada,Cambodia,"United States",Germany,"United Kingdom",Australia,Israel,"Sri Lanka"
75,1,Society,0,1,0,3,0,3,0,1,1,1,1,0,0,4,4,1,4,3,3,3,3,3,3,4,2,2,2,1,1,3,na,3,3,1,0,2,0,3,2,0,1,3,2,0,1,1,2,1,1,0,0,0,4,0,3,1,1,1,3,1,3,3,1,2,1,4,4,na,1,4,1,4,4,4,3,3,0,4,2,4,3,3,3,3,4,3,4,2,3,4,1,1,3,4,4,4,4,4,3,1,1
76,1,Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
77,0,Society,4,na,4,0,na,4,4,0,4,4,na,0,4,4,4,0,4,4,4,na,na,0,0,4,0,4,0,4,0,4,0,0,0,4,0,0,0,0,0,4,0,4,4,0,0,0,0,4,0,0,0,4,0,4,4,4,4,4,na,0,4,0,na,0,4,4,0,0,0,4,0,0,4,4,0,0,0,0,0,4,0,0,0,4,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,na
78,0,Military,0,0,0,0,0,4,0,0,4,4,4,0,4,0,4,0,4,4,0,4,0,4,4,4,4,4,0,4,0,0,0,4,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,4,4,4,4,4,4,0,4,4,4,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,4,0,0,4,4,4,4,4,4,0,4,4,4,4,0,4,4,0,4,4,4,4
79,0,Military,0,0,4,0,4,4,4,4,4,4,0,0,4,0,0,0,4,4,0,0,0,4,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,4,0,4,0,4,4,0,0,0,0,0,4,4,4,0,4,4,4,0,0,0,0,4,4,4,4,4,4,0,4,4,4,4,0,4,4,4,0,0,4,4
80,0,Military,0,0,0,0,0,4,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,4,0,4,4,0,4,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0
81,0,Military,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,na,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,4,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,4
82,0,Military,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,4,4,0,4,0,0,0,4,4,0,4,na,0,0,4,0,0,0,0,0,0,0,0,0,0,0
83,0,Military,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
84,0,Military,0,0,4,4,4,4,4,4,0,4,0,4,0,4,0,0,4,4,4,4,0,4,4,4,4,4,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,4,4,4,0,4,4,0,4,0,0,0,4,4,0,0,4,4,4,0,0,0,0,4,4,na,4,4,0,4,4,0,4,4,0,4,0,0,0,4,0,0
85,1,Military,0,0,4,0,4,0,4,0,0,0,0,4,4,0,0,0,4,0,4,0,0,4,4,4,na,4,4,4,0,0,na,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,2,4,0,0,0,4,4,1,4,0,0,0,4,4,4,4,4,4,0,3,4,4,0,0,4,3,4,4,4,4,4,na,0,0,0,4,4,1,0,1,0,0
86,0,Military,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,4,0,na,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,na,0,0,na,0,0,0,0,0,4,4,0,0,0,na,0,4,4,0,0,4
87,0,Military,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,na,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,4,na,0,0,0,0,0,4,4,0,4,0,0,0,4,4,0,4,na,0,0,0,0,0,0,4,4,4,0,na,0,4,0,0,4,0,4,0,4,0,0,4,4
88,0,Military,0,0,4,0,4,4,4,4,0,4,4,0,4,0,0,0,4,4,0,0,0,4,4,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,4,4,0,0,0,4,0,0,0,0,0,0,4,4,0,4,4,4,0,0,4,0,4,4,4,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0
89,0,"Law Enforcement",4,0,4,4,4,4,4,4,0,4,0,4,4,4,4,0,4,4,4,4,4,0,4,0,4,4,4,0,4,4,0,4,4,4,0,0,0,0,0,0,0,0,4,0,4,0,4,4,0,4,0,4,4,0,0,0,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0,4,4,0,4,4,4,4,0,4,4,4,4,4,0,0,4,4,0,4,4,0,4
90,0,"Law Enforcement",0,0,4,0,4,4,4,4,0,4,0,4,4,4,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,na,0,0,0,0,0,0,4,4,4,4,4,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,4,0,4,4,0,4,4,0,0,0,0,0,4,4,4,4,0,4,0,0,0,4,0,0
91,0,"Law Enforcement",0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,na,0,0,0,4,0,0,4,4,0,4,0,4,4,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,4,0,4,4,4,na,4,0,4,0,0,4,4,4,0,0,0,4,4,4,0,0,4,4,4,4,4,4,0,0
92,1,"Law Enforcement",1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,na,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,na,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
93,1,"Law Enforcement",0,0,0,0,3,4,0,3,0,0,0,4,0,0,4,3,3,4,2,3,0,3,3,2,0,3,0,0,0,0,0,0,0,0,3,na,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,3,3,1,0,2,4,2,0,4,3,0,3,1,1,0,2,0,0,0,3,4,1,0,0,0,4,3,0,0,0,0,0,1,1,3,0,0,3,0,2,0,0,2,0,1,0,0,0,0
94,1,"Law Enforcement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,3,4,0,0,0,0
95,0,"Law Enforcement",0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,4,0,4,4,0,0,4,0,0,4,4,4,4,4,na,4,4,0,4,4,4,4,4,0,0,0,na,0,4,0,na,0,0,4,4,4,4,0,0,0,0,0,0,4,4,4,0,4,4,4,4,0,4,0,0,4,4,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,4,4,4,4,4,4,0
96,0,"Law Enforcement",0,0,0,0,0,4,0,0,0,0,0,0,4,0,na,0,0,0,4,0,na,0,0,4,0,0,4,4,0,0,4,4,0,na,4,4,0,0,4,0,0,0,4,0,0,0,na,0,0,4,4,0,4,0,0,0,0,0,0,0,4,na,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,4,4,4,0,0
97,0,"Law Enforcement",0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0
98,0,"Law Enforcement",0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0
99,0,"Law Enforcement",0,0,0,0,4,4,4,4,0,4,0,4,4,4,4,4,0,4,4,4,0,4,4,4,4,4,0,na,4,4,0,4,0,4,4,0,0,4,4,0,0,4,0,0,na,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,na,4,4,0,4,4,0,4,0,0,0,0,0,0,4,4,0,na,0,0,4,4,4,4,4,4,0,4,4,4,0
